"id","name","description","parentId","image","serviceTypes"
"0dPeu6TzKtfS5kddE8i0","Cerrajería","Especialistas en cerrajería - Tarifa por cancelación 10%","wZvEJHJ6Q2eBOEWn3if2","https://firebasestorage.googleapis.com/v0/b/manitoxpress-cf855.appspot.com/o/categories%2FH_Cerrajeria.jpg?alt=media","[{""name"":""Auxilio llave dentro del vehículo"",""id"":""auxilio-llave-dentro-del-vehiculo""},{""name"":""Deschapado de puertas"",""id"":""deschapado-de-puertas""},{""id"":""instalacion-de-chapas"",""name"":""Instalación de chapas""},{""id"":""duplicado-de-llaves"",""name"":""Duplicado de llaves""},{""name"":""Personalización"",""id"":""personalitation""}]"
"3nikpxFQAWAQLOGk9lYG","Area de salud","Profesionales en el área de salud - Tarifa por cancelación 10%","h3ZOnJLzLTKldW8Py7wC","https://firebasestorage.googleapis.com/v0/b/manitoxpress-cf855.appspot.com/o/categories%2FP_Medico.jpeg?alt=media","[{""name"":""Médico general"",""id"":""medico-general""},{""id"":""nutricion-clinica"",""name"":""Nutrición clínica""},{""name"":""Fisioterápia y kinesiología"",""id"":""fisioterapia-y-kinesiologia""},{""name"":""Enfermería"",""id"":""enfermera""},{""name"":""Personalización"",""id"":""personalitation""}]"
"4nEaRhSHpcxYcbryVrpK","Electricista","Especialistas en electricidad y solución de circuitos - Tarifa por cancelación 10%","wZvEJHJ6Q2eBOEWn3if2","https://firebasestorage.googleapis.com/v0/b/manitoxpress-cf855.appspot.com/o/categories%2FH_Electricista.jpg?alt=media","[{""name"":""Maestro"",""id"":""maestro""},{""id"":""ayudante"",""name"":""Ayudante""},{""name"":""Instalación/Reparación punto eléctrico"",""id"":""instalacion-reparacion-punto-electrico""},{""name"":""Cambio de focos y pantallas"",""id"":""cambio-de-focos-y-pantallas""},{""name"":""Personalización"",""id"":""personalitation""}]"
"5OF9nRYFsjzsymh1hZZN","Aire acondicionado y calefón","Especialistas en Instalación, limpieza y refacción - Tarifa por cancelación 10%","wZvEJHJ6Q2eBOEWn3if2","https://firebasestorage.googleapis.com/v0/b/manitoxpress-cf855.appspot.com/o/categories%2FH_Aire.jpg?alt=media","[{""name"":""Instalación aire acondicionado"",""id"":""air-conditioning-installation""},{""name"":""Instalación Calefón"",""id"":""heater-installation""},{""name"":""Mantenimiento aire acondicionado"",""id"":""air-conditioning-maintenance""},{""name"":""Mantenimiento Calefón"",""id"":""heater-maintenance""},{""id"":""air-conditioning-relocation"",""name"":""Reubicación aire acondicionado""},{""name"":""Personalización"",""id"":""personalitation""}]"
"8Bdv0Ir5sAErddd8jW94","Cocina y catering","Especialistas en gastronomía, y servicios de cocina - Tarifa por cancelación 10%","h3ZOnJLzLTKldW8Py7wC","https://firebasestorage.googleapis.com/v0/b/manitoxpress-cf855.appspot.com/o/categories%2FP_Eventos2.jpg?alt=media","[{""id"":""cocinero"",""name"":""Cocinero""},{""id"":""parrillero"",""name"":""Parrillero""},{""id"":""ayudante-de-cocina"",""name"":""Ayudante de cocina""},{""id"":""ayudante-de-parrilla"",""name"":""Ayudante de parrilla""},{""id"":""catering"",""name"":""Catering""}]"
"9GtGhWlmirDeVJGPRoqt","Técnicos de electrodomésticos","Especialistas en Reparación y mantenimiento de heladeras - Tarifa por cancelación 10%","h3ZOnJLzLTKldW8Py7wC","https://firebasestorage.googleapis.com/v0/b/manitoxpress-cf855.appspot.com/o/categories%2FH_Electronico.jpg?alt=media","[{""id"":""reparacion-de-heladeras"",""name"":""Reparación y mantenimiento de heladeras y freezers""},{""id"":""reparacion-de-cocinas"",""name"":""Reparación y mantenimiento de cocinas y hornos""},{""id"":""personalizado"",""name"":""Servicio personalizado""}]"
"GupAPQj7pRHS9HtEsoQE","Limpieza","Especialistas en servicios de limpieza - Tarifa por cancelación 10%","wZvEJHJ6Q2eBOEWn3if2","https://firebasestorage.googleapis.com/v0/b/manitoxpress-cf855.appspot.com/o/categories%2FH_Limpieza.jpg?alt=media","[{""name"":""Limpieza solo ventanas"",""id"":""limpieza-solo-ventanas""},{""name"":""Limpieza solo pisos"",""id"":""limpieza-solo-pisos""},{""name"":""Limpieza completa"",""id"":""limpieza-completa""},{""name"":""Limpieza/Mantenimiento piscina"",""id"":""limpieza-mantenimiento-piscina""},{""name"":""Personalización"",""id"":""personalitation""}]"
"HW9xvBPRO5A98hOzG4Qr","Plomería","Especialistas en servicios de plomería y detección de fugas – Tarifa por cancelación 10%","wZvEJHJ6Q2eBOEWn3if2","https://firebasestorage.googleapis.com/v0/b/manitoxpress-cf855.appspot.com/o/categories%2FH_Plomero.jpg?alt=media","[{""name"":""Arreglo de cañerías"",""id"":""pipe-repair""},{""name"":""Instalación de grifos/baños/duchas"",""id"":""faucet-installation""},{""name"":""Maestro"",""id"":""worker-master""},{""id"":""worker-helper"",""name"":""Ayudante""},{""name"":""Detección de fugas"",""id"":""leak-detection""},{""name"":""Personalización"",""id"":""personalitation""}]"
"J3n844lWm27PGmq3YlYU","Vidriería","Profesionales en el área – Tarifa por cancelación 10%","wZvEJHJ6Q2eBOEWn3if2","https://firebasestorage.googleapis.com/v0/b/manitoxpress-cf855.appspot.com/o/categories%2FH_Vidrieria.jpg?alt=media","[{""name"":""Instalación de ventanas"",""id"":""instalacion-de-ventanas""},{""name"":""Instalación de puertas de vidrio"",""id"":""instalacion-de-puertas-de-vidrio""},{""name"":""Instalación de espejos"",""id"":""instalacion-de-espejos""},{""name"":""Instalación de pesceras"",""id"":""instalacion-de-pesceras""},{""name"":""Personalización"",""id"":""personalitation""}]"
"M06JAG6gFPjvowpSVk2o","Arquitectura y diseño interiores y exteriores","Profesionales en el área – Tarifa por cancelación 10%","h3ZOnJLzLTKldW8Py7wC","https://firebasestorage.googleapis.com/v0/b/manitoxpress-cf855.appspot.com/o/categories%2FH_Arquitecto.jpg?alt=media","[{""name"":""Ampliación de cocina"",""id"":""kitchen-expansion""},{""id"":""house-expansion"",""name"":""Ampliación de casa""},{""id"":""social-area-expansion"",""name"":""Ampliación de área social""},{""id"":""kitchen-redecoration"",""name"":""Redecoración de cocina""},{""name"":""Redecoración de casa"",""id"":""house-redecoration""},{""id "":""social-area-redecoration"",""name"":""Redecoración de área social""},{""name"":""Decoración de interiores y exteriores"",""id "":""indoor-outdoor-decoration""},{""name"":""Paisajismo"",""id "":""landscape""},{""id"":""personalitation"",""name"":""Personalización""}]"
